index,viewed,gender,grade,nevents,ndays_act,nplay_video,nchapters,age,votes,num_words,true class,SVM prediction,SVM anchor,SVM precision,SVM coverage,MLP prediction,MLP anchor,MLP precision,MLP coverage
300,1.0,1.0,0.0,2.0,1.0,197757.0,1.0,17.0,0.0,107.0,?,fail,,0.9900990099009901,1,fail,,0.9702970297029703,1
301,1.0,1.0,0.0,2.0,1.0,197757.0,0.0,28.0,0.0,35.0,?,fail,,0.9801980198019802,1,fail,nevents <= 2.00,1.0,0.3042
302,0.0,0.0,0.0,1.0,1.0,197757.0,0.0,25.0,0.0,21.0,?,fail,,0.9900990099009901,1,fail,,0.9900990099009901,1
303,1.0,1.0,0.03,769.0,9.0,118.0,3.0,21.0,0.0,98.0,?,fail,,0.9801980198019802,1,fail,,0.9801980198019802,1
304,1.0,1.0,0.0,26.0,1.0,3.0,1.0,29.0,1.0,131.0,?,fail,,0.9801980198019802,1,fail,,0.9801980198019802,1
305,0.0,2.0,0.0,2.0,1.0,197757.0,0.0,25.0,0.0,56.0,?,fail,,1.0,1,fail,nevents <= 205.00,1.0,0.7567
306,0.0,1.0,0.0,0.0,2.0,197757.0,0.0,22.0,0.0,148.0,?,fail,,0.9900990099009901,1,fail,nevents <= 2.00,1.0,0.2997
307,1.0,1.0,0.37,1823.0,9.0,144.0,5.0,16.0,0.0,33.0,?,fail,,0.9900990099009901,1,fail,,0.9603960396039604,1
308,1.0,1.0,0.53,5327.0,44.0,347.0,18.0,19.0,2.0,50.0,?,fail,,1.0,1,pass,nevents > 205.00 AND ndays_act > 5.00 AND age <= 21.00 AND nchapters > 3.00 AND grade > 0.00,0.335042735042735,0.0264
309,1.0,1.0,0.0,55.0,5.0,197757.0,0.0,25.0,0.0,17.0,?,fail,,0.9801980198019802,1,fail,,0.9603960396039604,1
310,1.0,2.0,0.0,126.0,4.0,17.0,5.0,25.0,1.0,186.0,?,fail,,1.0,1,fail,,0.9702970297029703,1
311,1.0,1.0,0.04,2746.0,23.0,337.0,4.0,23.0,0.0,109.0,?,fail,,0.9801980198019802,1,fail,,0.9900990099009901,1
312,0.0,0.0,0.0,2.0,1.0,197757.0,0.0,29.0,0.0,21.0,?,fail,,1.0,1,fail,nevents <= 2.00,1.0,0.31
313,1.0,2.0,0.0,50.0,1.0,6.0,1.0,25.0,0.0,29.0,?,fail,,0.9801980198019802,1,fail,nevents <= 205.00,1.0,0.7456
314,1.0,2.0,0.0,67.0,2.0,2.0,1.0,25.0,0.0,45.0,?,fail,,1.0,1,fail,nevents <= 205.00,1.0,0.7467
